t delta quadratic
0.0 50.0 50.0
0.001001001001001001 47.89106220086305 47.88252710965935
0.002002002002002002 50.07495202371656 50.06974618532102
0.003003003003003003 49.84699839519625 49.8382207076105
0.004004004004004004 49.75046257055605 49.73603633921637
0.005005005005005005 49.26710734381409 49.25822807458351
0.006006006006006006 48.65853302693141 48.641626872471775
0.007007007007007007 49.08498214227052 49.06509410607853
0.008008008008008008 48.43133548079727 48.408663583971205
0.009009009009009007 49.92532043772822 49.89767752512341
0.01001001001001001 49.559950689779114 49.533474071180706
0.011011011011011013 50.319011149614845 50.28158995669458
0.012012012012012012 48.40967868754654 48.37655698416818
0.013013013013013013 49.63289792332992 49.601024078331164
0.014014014014014014 50.15148821145493 50.121720083473704
0.015015015015015015 49.217395438115 49.192918143694534
0.016016016016016016 48.51207155480187 48.48588515887017
0.017017017017017015 48.4315166941071 48.4066141572351
0.01801801801801801 48.90634129660489 48.86890707446862
0.019019019019019017 48.64561261331831 48.612892642329264
0.02002002002002002 47.334762789182584 47.17094849279848
0.02102102102102102 47.78939434918115 47.60975387490643
0.022022022022022025 48.51614175825316 48.34083372649366
0.023023023023023025 48.577949663948054 48.39798718824162
0.024024024024024024 46.69818476728728 46.51060420410844
0.025025025025025027 49.50984958860584 49.34327173304573
0.026026026026026026 47.60501981292739 47.431621717375684
0.027027027027027032 47.12358868118737 46.95122758149287
0.028028028028028028 48.115915033333046 47.945796304230804
0.029029029029029024 46.051679762750325 45.851186101189654
0.03003003003003003 48.81106789085249 48.62220796785862
0.031031031031031032 47.73832210279856 47.53587901276592
0.03203203203203203 48.40589447066501 48.17271505776524
0.03303303303303303 48.351475064883665 48.11563676326515
0.03403403403403403 46.96392757623807 46.71609317303956
0.035035035035035036 48.675786722692344 48.41992126379072
0.036036036036036036 47.9176550457708 47.65381115863754
0.037037037037037035 46.655393225656354 46.39453767869077
0.038038038038038034 48.11828333302105 47.8962639545663
0.03903903903903904 51.02047574635969 50.78924462969074
0.04004004004004004 48.44094733799719 48.181466390157155
0.04104104104104104 47.75504562209299 47.51436539533219
0.04204204204204204 49.48528097204389 49.229264443862014
0.04304304304304304 49.45692961337815 49.18224660342241
0.04404404404404405 47.598733145499516 47.333655967357
0.045045045045045036 45.201470942539814 44.94457707061231
0.04604604604604605 48.038636925877945 47.78902636296997
0.04704704704704705 48.5327117549066 48.29741341985678
0.04804804804804805 48.056105748007994 47.828914562015086
0.04904904904904905 48.36838291558025 48.1489128941627
0.05005005005005005 47.781011836367185 47.58742805504326
0.05105105105105105 48.74031842361843 48.52064194306634
0.05205205205205205 48.42230818843652 48.20838965827599
0.05305305305305305 47.62619861138552 47.40170616422756
0.054054054054054064 47.93917899371046 47.70823484372952
0.055055055055055056 47.21599617358934 46.990338481817425
0.056056056056056056 47.91769287397389 47.695886889136546
0.05705705705705705 48.29786410916672 48.08085866127799
0.05805805805805805 45.84458874711703 45.63087863869768
0.05905905905905906 48.41292569004377 48.208850834826855
0.06006006006006006 47.80745211232379 47.611372640414174
0.061061061061061066 48.026971334744886 47.84821924520023
0.06206206206206207 48.2435101271229 48.0556716646406
0.06306306306306306 48.784204940812266 48.62420060979178
0.06406406406406406 48.03947981675536 47.87167762090746
0.06506506506506507 46.2230541003507 46.06213595464738
0.06606606606606606 46.888148370839886 46.71720400796033
0.06706706706706707 45.8671010017064 45.67784976848401
0.06806806806806806 49.418694810873866 49.24049915823533
0.06906906906906908 45.450819508430975 45.292815229795075
0.07007007007007007 47.32431675314207 47.1689183703194
0.07107107107107108 47.60643259695141 47.45646692980827
0.07207207207207207 49.50749852057807 49.34421218645842
0.07307307307307308 49.309780723521314 49.14052256355242
0.07407407407407407 48.03182666985287 47.851336207188545
0.07507507507507508 47.33895649700053 47.15238749591213
0.07607607607607607 46.23568857075165 46.04475004604899
0.07707707707707707 49.873866758183084 49.65953136178079
0.07807807807807808 46.74610609062379 46.523423078926534
0.07907907907907907 49.04521067521185 48.8377992683926
0.08008008008008008 48.44394482052743 48.26253301658847
0.08108108108108109 48.65479412603647 48.472548634599484
0.08208208208208208 48.16667036261558 48.00034536521983
0.08308308308308307 48.37299478186072 48.2253103783757
0.08408408408408408 47.32304789615175 47.17246896944869
0.08508508508508507 49.18825005385146 49.01757314893402
0.08608608608608609 49.60122113510669 49.39868867453486
0.08708708708708708 48.98232161654544 48.78980909855398
0.08808808808808809 46.30658351760281 46.0944462566818
0.0890890890890891 48.431402077753255 48.21925013008589
0.09009009009009007 49.30972548688553 49.10679566041939
0.09109109109109108 50.56045711107496 50.36922603539643
0.0920920920920921 48.08284252150081 47.87408426243272
0.09309309309309308 46.080294354692974 45.8485548211933
0.0940940940940941 47.460782472401824 47.22461806596491
0.09509509509509508 48.58266856588378 48.34130807460296
0.0960960960960961 48.70689890197431 48.447747255765265
0.0970970970970971 48.689866313999204 48.43279221716263
0.0980980980980981 47.59452601103735 47.339377273496545
0.0990990990990991 48.78244517438724 48.52423440788838
0.10010010010010008 48.38156512032383 48.12387417252803
0.1011011011011011 49.400982369498166 49.122079129043016
0.1021021021021021 48.609631290372675 48.351028198016635
0.1031031031031031 49.08269168341653 48.82454023127853
0.1041041041041041 49.00010470524074 48.7224205698089
0.10510510510510512 49.165951515284036 48.87937580510901
0.1061061061061061 48.34369186357968 48.05777534485733
0.10710710710710712 49.730439884636546 49.44631876141819
0.10810810810810813 47.621928491278354 47.34238713009424
0.1091091091091091 47.48875961625943 47.19956989966734
0.11011011011011013 50.935753556044304 50.64971001944939
0.1111111111111111 49.316224355950155 49.010087648348616
