x_1 pdf_1 x_2 pdf_2 x_4 pdf_4 x_10 pdf_10 x_50 pdf_50 x_100 pdf_100 x_500 pdf_500
-34.2296049622358 0.00044090163639673316 -14.088262109444724 0.0005464055796470586 9.580527722966474 0.0008034236281430338 31.54139936108247 0.0026543911811509773 41.0533462239797 0.002670800011208406 38.16332484598208 0.002556006120030069 48.52908402913962 0.021103210298158447
-22.889207042957295 0.0013227049091901995 -4.937550282472414 0.0 15.803894605462302 0.0008034236281430334 35.30874159421326 0.0026543911811509773 42.92544446383921 0.005341600022416812 40.11950169580167 0.0 49.002945581894586 0.05275802574539533
-11.548809123678794 0.00044090163639673316 4.213161544499896 0.0005464055796470588 22.027261487958135 0.0008034236281430338 39.07608382734405 0.007963173543452932 44.79754270369871 0.016024800067250374 42.07567854562126 0.0 49.47680713464956 0.06330963089447439
-0.20841120440029215 0.00044090163639673316 13.363873371472206 0.0016392167389411754 28.250628370453963 0.0016068472562860668 42.84342606047484 0.017253542677481384 46.66964094355822 0.021366400089667247 44.03185539544084 0.0 49.95066868740454 0.16882568238526757
11.13198671487821 0.00044090163639673316 22.514585198444518 0.0016392167389411754 34.47399525294979 0.0016068472562860668 46.610768293605624 0.038488672126689175 48.54173918341773 0.06409920026900173 45.98803224526043 0.00511201224006012 50.424530240159505 0.1793772875343468
22.47238463415671 0.0013227049091901995 31.66529702541683 0.004917650216823529 40.69736213544562 0.018478743447289787 50.378110526736414 0.08494051779683127 50.41383742327723 0.16826040070612955 47.94420909508002 0.04089609792048111 50.898391792914474 0.7808187810318509
33.81278255343521 0.008818032727934664 40.81600885238914 0.01693857296905881 46.92072901794145 0.05141911220115414 54.145452759867204 0.07830453984395398 52.28593566313674 0.16291880068371276 49.900385944899604 0.16358439168192443 51.37225334566945 0.4009609956650045
45.153180472713714 0.025572294911010526 49.96672067936145 0.03770198499564704 53.14409590043728 0.04177802866343774 57.91279499299799 0.023889520630358797 54.15803390299624 0.058757600246584704 51.85656279471919 0.20448048960240553 51.846114898424425 0.2637901287269806
56.493578391992216 0.022485983456233392 59.11743250633376 0.031145118039882333 59.36746278293311 0.028923250613149203 61.68013722612878 0.006635977952877444 56.03013214285575 0.024037200100875743 53.81273964453877 0.07923618972093185 52.31997645117939 0.1371708669380299
67.83397631127072 0.026894999820200726 68.26814433330607 0.01420654507082352 65.59082966542894 0.014461625306574601 65.44747945925957 0.0026543911811509773 57.902230382715246 0.010683200044833582 55.768916494358365 0.015336036720180416 52.79383800393436 0.04220642059631626
