t,delta_1,quadratic_1,delta_2,quadratic_2,delta_3,quadratic_3,delta_4,quadratic_4,delta_5,quadratic_5,delta_6,quadratic_6,delta_7,quadratic_7,delta_8,quadratic_8,delta_9,quadratic_9,delta_10,quadratic_10,delta_11,quadratic_11,delta_12,quadratic_12,delta_13,quadratic_13,delta_14,quadratic_14,delta_15,quadratic_15,delta_16,quadratic_16,delta_17,quadratic_17,delta_18,quadratic_18,delta_19,quadratic_19,delta_20,quadratic_20,delta_21,quadratic_21,delta_22,quadratic_22,delta_23,quadratic_23,delta_24,quadratic_24,delta_25,quadratic_25,delta_26,quadratic_26,delta_27,quadratic_27,delta_28,quadratic_28,delta_29,quadratic_29,delta_30,quadratic_30
0.0,50.0,50.0,50.00000000000001,50.00000000000001,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.00000000000001,50.00000000000001,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.001001001001001001,49.47634010044552,49.47742069160629,50.69786003798186,50.68981238461155,50.4038070666947,50.400649544483755,50.6031584811645,50.61546506123007,50.12456660786359,50.126124539074944,49.32069479110834,49.32292188254165,50.055288675958806,50.053249171898486,50.97292822644132,50.97896975413244,51.3331821363704,51.329599305711994,49.500802241359935,49.50264137696665,50.416092617008886,50.423355345803614,51.399134883102626,51.40463755223001,49.12174188923567,49.11809129133618,49.871959313200435,49.87233987874794,47.892598421538,47.89521563837498,48.76497441928045,48.76642395113679,49.96092799076014,49.959482019928515,51.95074978873552,51.949795563584544,52.02680710573883,52.03380312376074,48.736883387982715,48.74376982204012,49.93499078232445,49.933904842498606,49.931045792044245,49.92350888748848,47.65601582993152,47.64243264121741,51.85168343442832,51.848272986296514,49.696504792920656,49.698586847001486,49.04749598189093,49.05010678373702,51.8355043930284,51.83780392235357,49.5693630937199,49.568468892528315,51.975272531997746,51.969026498135705,51.17225589112405,51.16857914469642
0.002002002002002002,49.66814204486303,49.666742726244905,51.626584249172474,51.61584490214033,50.43336009373779,50.429338239199396,50.65724310970297,50.66793632323914,50.196866543057084,50.19812764901579,49.03739584037703,49.042068375391494,48.94005096021021,48.93108865259642,51.226119824596495,51.233621133984585,50.2140357124308,50.20798065984853,51.15005410925163,51.14115420258615,50.26621877317494,50.28157091564947,50.20269882068804,50.206849057124444,48.89761484299907,48.89410766715377,49.229788325476974,49.227304933265515,48.60708243244392,48.60550860816495,49.75116685411054,49.74977426762261,49.03015376611577,49.031317537587164,51.7850938080025,51.78671541132728,50.46330081375281,50.47376365970108,48.69583977664051,48.69782188287668,50.22550310642971,50.227375132750524,50.82969031817764,50.82148871230059,49.42102258544679,49.40500213290865,52.171730910596885,52.17270720037934,52.03235848483449,52.037298982282664,49.068731297349885,49.07218830981877,51.11360483733242,51.1208929046545,51.79446191339687,51.79342162114723,50.49487595704688,50.486218762030724,48.801307148713256,48.79362285590715
0.003003003003003003,50.14711985222001,50.15164812885748,50.31809459075943,50.30669894704134,49.67667783471302,49.67240327733454,51.32146393929255,51.335065710936014,51.23973727770282,51.24702311425235,48.49265677650799,48.502439071869254,49.16529755021943,49.155855580944014,52.84222186660018,52.84656496244801,49.0110937598499,49.0060112362296,51.64982946414629,51.63851605588796,51.29896530471681,51.31791463620575,48.613771438436586,48.61756334982621,48.95356693516835,48.946107076952764,48.58340348548754,48.58173153199549,48.57618596366828,48.576596377519664,49.36854828281748,49.36731099352104,49.651139074747164,49.65013999553996,51.42630485570586,51.428750601341854,50.49521290855479,50.494020618538926,47.5667405538426,47.562324120220346,48.580327138850684,48.58207040717807,50.21407013340765,50.201360313413566,50.15213964078427,50.140834928984916,51.89246602423019,51.89330745561726,50.77042425521993,50.77254164129325,51.98525427924997,51.98888617127622,51.38081681680152,51.38824237482205,49.04481232753383,49.04356785500424,51.8510256864177,51.84100982626366,51.026216605040005,51.01837104150526
0.004004004004004004,50.539597558995425,50.53662458933303,52.148942433384434,52.1397867617529,50.21734857492326,50.211059553279505,51.616497960551555,51.630015423383185,50.49453862138303,50.50704128391281,49.201698545005485,49.21540143059889,50.394212299147696,50.38464426400867,51.10917626950727,51.111442848027465,49.760030690796015,49.76410119117237,49.80352751413011,49.7941021601018,50.76015555223254,50.776325003108376,50.40575766055747,50.40547753873727,49.55812721607579,49.54637308765949,49.23513152380812,49.23356897117762,48.42067647412526,48.41777156962354,48.712149465144094,48.71041280259688,50.12427789661761,50.12310622451979,52.140472466415,52.14085101952981,51.177216414960974,51.17136792867512,49.35714550203363,49.35574444656575,49.148047474736074,49.15079651112839,50.83007013327884,50.81999839967875,48.35749940503196,48.34337103432571,51.2852792983045,51.2852657212547,49.54944448751853,49.54859732836253,49.75338267688571,49.758151007539695,50.55748520781893,50.56502025457314,50.34984167565356,50.347425965229625,52.14930442590261,52.1428379883361,50.77073901686063,50.77071811487494
0.005005005005005005,49.98696316696073,49.988164158986756,52.21959154131438,52.206585239145376,48.980749582829105,48.97819943414284,50.33474849325658,50.349254065442935,51.13537507571942,51.15163960011317,49.184458765815855,49.19665007491874,49.15740219065859,49.142954403324055,52.05027801750347,52.04583564388831,49.87024217971577,49.87952059116751,52.24347518963003,52.2364145734458,50.84253996659919,50.856926190249936,50.18201855374328,50.17988446646256,49.68995509429131,49.67744653952734,49.84051886446413,49.84267297521352,47.91800214660669,47.92422284415128,49.12993418621262,49.125286351729926,47.963600078369105,47.95587665122178,49.53330596961916,49.534892727823795,50.96200410825627,50.9531409111067,48.6409943673166,48.6390510505671,50.24810885586683,50.25455044061226,49.34772227474451,49.34489919838229,48.862784128315354,48.85696706887097,49.8131228006154,49.80427045432583,50.08138768673807,50.07972077169471,49.46165163441563,49.471234622443376,49.458877072554905,49.459460951292705,49.99031649104673,49.99367736020888,51.914849968859,51.903668324373086,49.92096880971248,49.917803580636686
0.006006006006006006,49.666685312285644,49.67119918598994,50.84008879223306,50.820612457412764,50.668042567437624,50.673550535513144,50.94347178832403,50.96656651909825,50.844512648576746,50.86076140238058,49.89914370476524,49.92055044555826,50.685784114181644,50.676777679245205,50.95126768508624,50.94781210551057,49.10812268127087,49.1307292975449,49.953314911645336,49.949693747383265,50.40821957258359,50.425734313639055,51.23931861869623,51.24173782709434,49.626341983969965,49.60970332118261,50.13467054939638,50.12318727583297,50.273113762633315,50.28430425594715,47.335211796021746,47.329954249318455,50.7484524357702,50.74551866776978,52.150688253609104,52.151735665076984,50.74722076027332,50.738905962901654,50.112681843745236,50.11104250075984,49.93070352589051,49.93001566270162,50.73251084477819,50.7337409840392,48.83666430422909,48.82076926437145,50.0300027915772,50.02307675403367,49.73221566745702,49.729217730824125,49.820636686854186,49.83188804196061,49.91814855052594,49.91842781694517,49.311446229988874,49.31629438385379,50.43605102199112,50.4217907719127,48.685711466566474,48.68175865674742
0.007007007007007007,49.730629167438444,49.73445065790752,49.539829718226926,49.51600805043202,50.73620488492901,50.75040809126881,48.688744858244235,48.70464832885688,50.29693916343661,50.31527226759348,50.75754238290446,50.7765137655567,49.16576941467747,49.16883667524783,51.83528009822629,51.833601079854176,50.362798945262554,50.3849618053484,50.66924747758068,50.66947426296167,49.588173985145545,49.60846659753041,50.49666172892019,50.49803939577983,50.55379584349116,50.539286050868384,49.85408362214351,49.84822659565655,47.88279714872683,47.89090091568931,47.31362700808555,47.305394041162245,49.366575489867785,49.355265671792395,50.26246122097915,50.25992954561191,51.40683309649603,51.39534311691615,49.28666594195975,49.276255467877625,49.782167102558546,49.77715084230323,51.504696754001756,51.5103942511644,47.60435896273372,47.581855631934154,49.66498992524904,49.65897812505521,49.51098998086934,49.508755184009516,49.00287129135949,49.019493518973924,51.01902191123787,51.02919323435222,50.11344765786752,50.12013954120969,52.438689518687085,52.42611287452853,49.24609413591378,49.231442546547626
0.008008008008008008,50.95554263036472,50.956548118514306,50.905929171841734,50.875309547941015,51.22255736583574,51.23548485434364,50.69823280557609,50.71625946360239,51.84874413859875,51.8711548142208,49.292463866912,49.306513851461105,49.90228797541636,49.90473973228387,50.35892968261807,50.357017730205484,49.30843189129099,49.32754566836682,52.16393869973563,52.164592119090194,49.92216032744156,49.94049318397046,52.231468481373355,52.220683249234156,50.52986214935325,50.516384230363045,48.957807340883434,48.94861874134129,49.02631548657508,49.03750098985463,47.90699263969802,47.89959601096389,49.474412611248,49.46043416474963,51.63313570495744,51.636082708577064,50.687282470908166,50.67207618985109,48.91597120919059,48.91460205758915,50.22330387053354,50.22035647525216,51.001569548895006,51.012347294545876,47.8448547390899,47.823073308347645,50.571978334270185,50.57563669023311,50.912272631101985,50.9020417419743,49.08622551457194,49.0979299095246,50.20893817017743,50.22416212057145,50.03657363141963,50.05027306871261,51.06648318258588,51.064573626256184,50.34768337104156,50.338919154362536
0.009009009009009007,49.87287744807145,49.86953364410462,50.55944958335452,50.52312808321908,50.86936284032653,50.88775198599548,50.4396297990461,50.452841279503545,50.28899306413598,50.30956403451077,48.81529561785203,48.8338768049623,48.508156012000974,48.51503583165087,50.690495678603696,50.68394988023566,49.1992075190747,49.22408802907528,49.40699783946845,49.409482069954784,50.005043759703085,50.01845172215168,50.73171012628444,50.721773243754484,50.613127072140614,50.60391816704286,50.03021335790828,50.03142922591728,47.74930062685264,47.75895389231223,47.82804567611255,47.82190763987025,50.88354287344995,50.86682524512852,51.72721630726505,51.73054459114991,49.266592241142845,49.25772555176093,47.5223805879329,47.51359555879529,50.07338545261575,50.07062761984693,49.506410268179295,49.51696209179147,47.020982398841355,46.999738786402034,51.07098740757691,51.07243328605604,49.90888819265483,49.89692267821985,48.72255007627888,48.74222731356694,50.90952274346644,50.9214983667942,50.71941091111974,50.736259975116056,51.7457698952423,51.74013278165433,50.03329929544286,50.0274127235097
