,spot_price,lambda_0,lambda_1,lambda_2,lambda_4,lambda_8
0,1.0,1.2066224038925058e-20,8.861078683313243e-14,4.298960756840832e-12,5.868877894740922e-10,2.5195817126434445e-07
1,5.793103448275862,1.4889972026624576e-08,5.084228533129019e-06,8.767814229631942e-05,0.001105972876644883,0.009151150825072427
2,10.586206896551724,1.3776124374115024e-05,0.00043460653537245213,0.003157779405057179,0.018743999224045942,0.12152993689680976
3,15.379310344827587,0.0004806057984336666,0.00742347310517211,0.024100468969189,0.08451747608650836,0.3468006526793326
4,20.17241379310345,0.004616272971539728,0.032162363594126116,0.08022535288884786,0.28728331383876665,0.7995132178902746
5,24.96551724137931,0.02273439421182785,0.10091243640006224,0.21931056638424787,0.5284695967109957,1.5972125406633662
6,29.758620689655174,0.07510521498325484,0.2474720166268232,0.501058313575494,1.0584350662379003,2.324714603715256
7,34.55172413793103,0.1911214797531696,0.4797364652976756,0.8769330578397234,1.7722732630231448,3.85337382682996
8,39.3448275862069,0.4056553443951421,0.9154656305726816,1.4673927796773374,2.569259605082921,5.3796886432573965
9,44.13793103448276,0.7545895652311629,1.3880564007724212,2.199768166275688,3.7984150221656656,6.671335525856116
10,48.93103448275862,1.2709899477641189,2.194727031847313,3.104989638095188,5.190617519627902,8.40018044207824
11,53.724137931034484,1.9825379869680733,3.154759871204903,4.468118342406039,6.6086021018794,10.766054519314297
12,58.51724137931035,2.910245064899289,4.273848956764438,5.9180801400761105,8.497409093432191,12.054162620670814
13,63.310344827586206,4.068187256933104,5.929717971828368,7.109975484476769,10.49488634652594,14.948367041442161
14,68.10344827586206,5.463929888150911,7.366793005838571,8.788763115368562,12.206043168354206,16.90862903194275
15,72.89655172413794,7.099346725384756,9.204221801964284,11.36219265954949,14.83764591502515,20.06467043063853
16,77.6896551724138,8.97161077966354,11.232651813346617,13.46523604383589,16.806485636534156,22.356348248637875
17,82.48275862068965,11.074206687047457,13.496162300540655,15.870201021536186,20.14008210232955,26.03584235615159
18,87.27586206896552,13.397874432709749,16.321637207226598,17.93353391404989,22.27591060988906,27.377381848295226
19,92.06896551724138,15.931437774661505,19.008084788339453,21.97164693408434,24.741226150035576,31.35237619526644
20,96.86206896551724,18.66249988765307,21.51771776985116,23.75566937948577,28.72391674712168,34.60269239241185
21,101.65517241379311,21.57800673956835,24.67727949059956,27.490886787417235,32.57330785047227,37.99798014154248
22,106.44827586206897,24.664688760619182,27.625961557404995,29.90627714281115,34.64999162924069,41.63985431447596
23,111.24137931034483,27.909396122687607,30.56503742750423,34.23591086187032,38.3755794176361,45.45518814143528
24,116.0344827586207,31.29934438899624,34.569042236341666,36.918090709078605,40.76550985545808,49.44749152828554
25,120.82758620689656,34.82228680382031,37.4803711848131,41.08404213212957,44.33431778407293,52.716367609835594
26,125.62068965517241,38.46662798488639,41.04389091215653,43.689393906626336,47.648453477425114,54.731829603327554
27,130.41379310344828,42.221491837515906,45.028680606245224,46.76273419603786,51.78130566465231,58.7123026812045
28,135.20689655172413,46.07675447737255,49.03477366018002,52.800419476996524,56.55171485632275,61.36256775814196
29,140.0,50.02305102201282,53.16027518230592,55.8574131823088,60.953353548275636,66.16772725492307
