,t,x,f(x)
0,0.0,100.0,23.910149079550973
1,0.001001001001001001,101.69727643860314,25.62291035398259
2,0.002002002002002002,101.03800881101287,26.94940455368606
3,0.003003003003003003,101.74946607983023,25.64576913816234
4,0.004004004004004004,102.87340488200131,28.748808518947055
5,0.005005005005005005,101.77364696260149,27.0305315712928
6,0.006006006006006006,103.36998167064077,28.276587635316787
7,0.007007007007007007,103.96425737155728,27.684864216781783
8,0.008008008008008008,104.51920135923248,29.211342762341996
9,0.009009009009009007,105.50856700866498,29.791165287677266
10,0.01001001001001001,105.2789153476956,29.092214811070598
11,0.011011011011011013,107.09891538764828,30.01990894122069
12,0.012012012012012012,106.38675585901592,28.951442225160545
13,0.013013013013013013,106.18149644942457,30.136167014143034
14,0.014014014014014014,105.833739973682,29.86904089977311
15,0.015015015015015015,104.95691048194729,28.649891426378797
16,0.016016016016016016,105.24282562510048,27.763810302746275
17,0.017017017017017015,105.03158637947945,29.037106657069277
18,0.018018018018018014,107.11521838622473,30.87230577515499
19,0.019019019019019017,106.33416395668283,28.716358702977566
20,0.02002002002002002,128.11198856154246,45.233995710233245
21,0.02102102102102102,130.04498877056298,47.576330374662874
22,0.022022022022022025,129.51858409597565,46.65890414208712
23,0.023023023023023025,130.08860334681592,44.233244424753956
24,0.024024024024024024,131.02019497786898,47.641044556385225
25,0.025025025025025027,128.45997406572545,46.131515865355645
26,0.026026026026026026,129.29422628374388,48.29668257503652
27,0.027027027027027032,129.16987502116888,46.60282460036838
28,0.028028028028028028,128.89846490095513,46.877379358055066
29,0.029029029029029024,132.60645193617248,47.8098135284665
30,0.03003003003003003,131.18927020783954,49.86875060059963
31,0.031031031031031032,132.82508195393223,46.4850653889109
32,0.03203203203203203,136.52389438581358,53.485934907495896
33,0.03303303303303303,136.84584925770127,52.8910280484736
34,0.03403403403403403,138.29078564207114,52.32533452545901
35,0.035035035035035036,139.25884817728831,55.29319334107668
36,0.036036036036036036,140.22058127886328,53.5888862492099
37,0.037037037037037035,139.86334720422724,54.02184644705712
38,0.038038038038038034,135.19471452215913,50.887001933354895
39,0.03903903903903904,136.3047772692644,50.809090713095244
40,0.04004004004004004,139.7045410566545,55.635550541211245
41,0.04104104104104104,137.44642563460914,51.611101639765415
42,0.04204204204204204,139.2923813138401,53.06458115975217
43,0.04304304304304304,141.53870285062942,56.042526944420736
44,0.04404404404404405,140.38602898752188,55.84991180233962
45,0.045045045045045036,139.40437612137694,51.354107936262785
46,0.04604604604604605,138.5309240781622,51.56198187625272
47,0.04704704704704705,136.81243111527857,53.84740752353055
48,0.04804804804804805,135.83993425689454,52.64809194293879
49,0.04904904904904905,134.91384183300028,50.32396195046016
50,0.05005005005005005,131.8038811701146,46.04859415791733
51,0.05105105105105105,134.89562642798666,49.816879897169414
52,0.05205205205205205,134.21602310084805,49.914819793761104
53,0.05305305305305305,135.47023173064585,48.8590686354294
54,0.054054054054054064,136.23634025669574,51.306931342690305
55,0.055055055055055056,135.61256516500524,50.8773652427927
56,0.056056056056056056,135.15867510567966,50.66252028042366
57,0.05705705705705705,134.59243671359118,51.8633674425059
58,0.05805805805805805,134.20442469701229,49.5853977427877
59,0.05905905905905906,133.0657208151743,47.610222380674436
60,0.06006006006006006,132.12118950263186,46.46374157264552
61,0.061061061061061066,130.08768482444825,46.70003420350039
62,0.06206206206206207,131.15737137024422,45.97249436471944
63,0.06306306306306306,127.88949284225106,43.03542532745684
64,0.06406406406406406,128.8078005080761,45.30817323349396
65,0.06506506506506507,128.001219479601,44.33660781882037
66,0.06606606606606606,129.1813227737278,48.041242759925105
67,0.06706706706706707,131.33426960085308,45.95476318876564
68,0.06806806806806806,130.03760100800108,45.88584873271865
69,0.06906906906906908,127.66762375146007,46.455912917080546
70,0.07007007007007007,127.36365722863876,43.34030645434898
71,0.07107107107107108,126.725762517507,43.34773380428127
72,0.07207207207207207,128.2973756879717,45.07419147211584
73,0.07307307307307308,129.00315459545644,45.29477786115859
74,0.07407407407407407,130.32871852282986,46.303033216855
75,0.07507507507507508,131.04707030392998,48.56434543557482
76,0.07607607607607607,131.56406743521623,46.953141413877674
77,0.07707707707707707,134.32285082553028,51.277706162035905
78,0.07807807807807808,135.30854347426384,50.060081226180074
79,0.07907907907907907,133.5114394279083,50.30252360967022
80,0.08008008008008008,130.45037168573526,44.794511597297536
81,0.08108108108108109,130.54921976355237,47.01995191323622
82,0.08208208208208208,128.70559237511958,45.590580589834616
83,0.08308308308308307,126.54659734939821,44.03932842481056
84,0.08408408408408408,126.88437832354656,44.966596315676846
85,0.08508508508508507,129.21672350102796,45.518190799775574
86,0.08608608608608609,132.9122392348678,47.66819298974193
87,0.08708708708708708,131.75272048856823,48.17363102382015
88,0.08808808808808809,134.03019902009711,51.182275393505016
89,0.0890890890890891,134.03409271170983,47.90546557679704
90,0.09009009009009007,132.96707330304992,47.473610402393966
91,0.09109109109109108,131.62678391328686,48.978062579100744
92,0.0920920920920921,133.6403043024301,48.456092500701445
93,0.09309309309309308,136.27970664990215,51.73869784276518
94,0.0940940940940941,136.7896770238719,49.198711875158075
95,0.09509509509509508,137.38814753848445,51.46134070176021
96,0.0960960960960961,139.43196004593037,56.35907994306528
97,0.0970970970970971,139.19574782548622,53.01148805092926
98,0.0980980980980981,138.9770001569957,54.81248462903268
99,0.0990990990990991,139.33057816546415,56.235114748638146
100,0.10010010010010008,139.27312280209094,53.09084100547081
101,0.1011011011011011,141.71206776486392,54.62368334371075
102,0.1021021021021021,139.38229617863956,54.8839072452409
